2023-06-14 08:00:37.315628 UTC
public1-skupper-router-86cd45c9df-27nvg

Connections
  id      host             container                                               role               proto  dir  security                         authentication                                  meshId  last dlv      uptime
  =====================================================================================================================================================================================================================================
  267100  10.85.0.1:7207   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267101  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267102  10.85.0.1:5970   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267103  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267104  10.85.0.1:53548  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267105  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267106  10.85.0.1:5468   TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267107  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267108  10.85.0.1:47325  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267109  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267110  10.85.0.1:34743  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267111  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267112  10.85.0.1:55628  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267113  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267114  127.0.0.1:44458  49e1c90c-cf2a-4de0-8921-bc14ac9dbdea                    normal             amqp   in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267115  10.85.0.1:48917  TcpAdaptor                                              normal             tcp    in   no-security                      no-auth                                                 000:00:00:00  000:00:00:00
  267116  10.85.0.8:8080   TcpAdaptor                                              normal             tcp    out  no-security                      no-auth                                                 000:00:00:00  000:00:00:00
